id,agg_type,unstack_cnn,context_lstm_dim,context_layer_num,context_lstm_drop_out,agg_(lstm or cnn)_dim,agg_layer_num,agg_self_att,window_size,mp,drop_out,type1,type2,type3,lr,char(em-ls),shared_attention,shared_aggregation,input_highway,match_highway,agg_highway,batch_size,converged_epoch,loss_type,modify_loss,train_map,valid_map,test_map,test_mrr,max_test_map,att_type,context_self
7.47,CNN,False,50,1,False,100,,,1,50,0.04,'mul','w_sub_mul',None,0.002,,True,False,False,True,False,40,6,'list_wise',0.1,0.938115222641,0.698491235396,0.648042564612,0.6548486414,0.66423682454,'linear_p_bias',False
7.69,CNN,True,50,1,False,100,,,1,100,0.04,'mul','mul',None,0.002,,True,True,False,True,False,40,11,'list_wise',0.1,0.941573269727,0.702330476998,0.6477673454,0.65681001668,0.676397683535,'bilinear',False
7.60,CNN,False,50,1,False,100,,,1,50,0.04,'mul',None,None,0.002,,False,True,False,False,False,40,8,'list_wise',0.1,0.920363150277,0.700547600548,0.647516109862,0.66051403443,0.656767332789,'linear',False
7.36,CNN,False,50,1,False,100,,,1,20,0.04,'mul',None,None,0.002,,True,True,False,True,False,40,5,'list_wise',0.1,0.87043653709,0.726379616856,0.64746421089,0.66014878997,0.687751738968,'linear',False
7.23,CNN,False,50,1,False,100,,,1,20,0.04,'mul','mul',None,0.002,,True,False,False,True,False,40,9,'list_wise',0.1,0.919118624896,0.737045483176,0.646984059502,0.66392910929,0.678565953495,'dot_product',False
7.22,LSTM,False,50,1,False,50,1,True,,100,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,10,'list_wise',0.1,0.849549988185,0.708745421245,0.645874576502,0.66197257817,0.65924266852,'linear',False
7.56,LSTM,False,50,1,False,50,1,False,,50,0.04,'mul',None,None,0.002,,False,False,False,False,False,40,6,'list_wise',0.1,0.895219737761,0.694139238187,0.645799818004,0.65609760206,0.672885851016,'linear',False
7.20,CNN,False,50,1,False,100,,,1,100,0.04,'mul',None,None,0.002,,True,True,False,False,False,40,6,'list_wise',0.1,0.928839514395,0.711574074074,0.645058962994,0.65746750277,0.664425142725,'linear_p_bias',False
7.67,LSTM,False,50,1,False,50,1,False,,20,0.04,'mul','w_sub_mul',None,0.002,,False,False,False,False,False,40,9,'list_wise',0.1,0.930618098189,0.697424070638,0.644793074871,0.65162490687,0.657011701598,'bilinear',True
7.12,CNN,False,50,1,False,100,,,1,100,0.04,'mul',None,None,0.002,,False,True,False,False,False,40,11,'list_wise',0.1,0.938623897255,0.703418134931,0.643836507421,0.65500619065,0.661191024889,'bilinear',False
7.75,CNN,True,50,1,False,100,,,1,20,0.04,'mul','mul',None,0.002,,True,True,False,True,False,40,9,'list_wise',0.1,0.911312966339,0.72024731545,0.641624320076,0.64875752751,0.678833834775,'linear',True
7.51,LSTM,True,50,1,False,50,1,False,,100,0.04,'mul',None,None,0.002,,False,True,False,False,False,40,5,'list_wise',0.1,0.897270969042,0.704689493643,0.640455318753,0.64749795243,0.67731917431,'linear',True
7.19,CNN,True,50,1,False,100,,,1,20,0.04,'mul','mul',None,0.002,,False,False,False,True,False,40,11,'list_wise',0.1,0.748433151211,0.682056949131,0.638567225359,0.6480811369,0.644725088012,'linear',False
7.18,LSTM,True,50,1,False,50,1,False,,20,0.04,'mul','w_sub_mul',None,0.002,,True,False,False,False,False,40,10,'list_wise',0.1,0.842737752575,0.699179865549,0.638155028451,0.65048654838,0.657696281001,'linear',False
7.27,CNN,False,50,1,False,100,,,1,100,0.04,'mul','w_sub_mul',None,0.002,,False,True,False,True,False,40,9,'list_wise',0.1,0.852696965601,0.693020772152,0.637596837499,0.64326885962,0.653603940217,'linear_p_bias',False
7.63,CNN,False,50,1,False,100,,,1,20,0.04,'mul','w_sub_mul',None,0.002,,True,False,False,True,False,40,5,'list_wise',0.1,0.911483361999,0.716521881998,0.63215023599,0.64451022799,0.653281624035,'linear',False
7.73,CNN,True,50,1,False,100,,,1,20,0.04,'mul','w_sub_mul',None,0.002,,True,False,False,True,False,40,5,'list_wise',0.1,0.358385307403,0.640837370302,0.591003560428,0.60069453655,0.617722440601,'bilinear',False
7.9,CNN,True,50,1,False,100,,,1,100,0.04,'mul',None,None,0.002,,True,True,False,True,False,40,1,'list_wise',0.1,0.347059316164,0.599308936214,0.558747097847,0.56640322982,0.569089356767,'dot_product',False
7.32,CNN,True,50,1,False,100,,,1,50,0.04,'mul','mul',None,0.002,,False,False,False,True,False,40,3,'list_wise',0.1,0.360624660628,0.571704243296,0.5464940012,0.5629160071,0.56095551682,'dot_product',False
